,ID_NUMBER,Probability,ToInspect
1240,MDD985390657,0.9857160288,1
1244,VAD988171484,0.9928586098,1
1247,VTR000503490,0.9834113798,1
1259,ILR000075358,0.9886849206,1
1271,VA0000750976,0.9907496032,1
1273,PAR000016329,0.9882705962,1
1276,MND001325240,0.9895837672,1
1277,ILD984782409,0.9835145819,1
1284,NJD982791717,0.9858902184,1
1288,VAR000513044,0.9847654762,1
1289,MAD001129261,0.9831081793,1
1290,IND006420509,0.9867099206,1
1291,KSD985002922,0.988052381,1
1294,MAC300018892,0.9888839906,1
1295,ILD025545484,0.9859444263,1
1296,MAD982199911,0.9829551405,1
1297,MIK471696963,0.9899474203,1
1309,NJD982533945,0.9893863361,1
1313,MAR000503102,0.9922891418,1
1316,PAR000003038,0.9873838469,1
1318,NJD000768226,0.9855211608,1
1319,NJR000019224,0.9956784993,1
1320,NCS000001165,0.984114458,1
1324,NVR000081463,0.9898921459,1
1326,MID050615996,0.9895082248,1
1329,MID980905459,0.9826989089,1
1333,IND098141062,0.9897956349,1
1335,MAC300104007,0.9893785602,1
1344,MAD063917470,0.9933835709,1
1351,NYR000158949,0.9891103175,1
1353,MAD043399906,0.9864421906,1
1354,ILD040140980,0.9841380765,1
1357,VAD086393873,0.9827583333,1
1362,KSD050870245,0.9885264456,1
1364,NJR000052829,0.9874375609,1
1366,NJD986647857,0.9847747528,1
1370,VAR000514596,0.9893270518,1
1374,WID988587549,0.9835297619,1
1381,WID988633673,0.9900067919,1
1389,NC0000460881,0.9850166248,1
1390,WVR000003053,0.9844174093,1
1393,VAR000013599,0.990074921,1
1396,NYD095605572,0.9909484127,1
1397,WYR000204743,0.9848758665,1
1400,NYD002105989,0.9886388053,1
1403,NJD094243037,0.9841112579,1
1406,NJR000045062,0.9847027027,1
1408,ORD080973167,0.9921503968,1
1421,KYD985078807,0.9908856812,1
1427,KYR000003244,0.9825333333,1
1428,CTR000506477,0.9857671965,1
1430,WYR000206839,0.9904527778,1
1436,NJD980791016,0.9828428263,1
1445,MIK466214426,0.9950316578,1
1458,ILR000145995,0.9854938765,1
1465,VAD003112836,0.9861061663,1
1467,MAD001956176,0.98515736,1
1468,COD983799024,0.9848662698,1
1472,NJD986640126,0.9915337223,1
1474,MAR000013219,0.991087156,1
1477,KYR000045245,0.9826515873,1
1483,SDD000710376,0.986784127,1
1485,OKR000021840,0.9842856214,1
1486,RID987467123,0.9837279918,1
1491,DCD983968298,0.9860916667,1
1497,SDR000205112,0.9832119933,1
